country,year,internet_users_pct,mobile_subscriptions_per_100,bank_branches_per_100k_adults,atms_per_100k_adults,private_credit_pct_gdp,gdp_growth_pct,inflation_pct,unemployment_pct,digital_access_index,financial_inclusion_index,macro_resilience_index,overall_resilience_score,intervention_priority_score,priority_tier,weakest_pillar
Indonesia,2011,12.28,100.134519965107,14.4171118214324,16.1242688565636,30.0821993577662,6.16978420771008,5.35604849112582,5.153,0.0,15.404859547459766,40.590516438873216,17.568855773272883,82.43114422672711,High,Digital Access
Indonesia,2012,14.52,111.581048999,16.5682153351081,35.0878043772382,33.4341714348422,6.03005065305615,4.2795142691943,4.468,11.102976127594633,55.90347625502346,59.795895946583215,41.3910271178913,58.6089728821087,Medium,Digital Access
Indonesia,2013,14.94,122.424816798816,17.355740848749,41.3362744474099,36.0581396070456,5.5572636889101,6.41249457900391,4.336,20.126382243261904,75.12769763754832,45.614698465030415,47.0233374977927,52.9766625022073,Medium,Digital Access
Indonesia,2014,17.1431598350566,125.767185647597,17.5854342467378,48.5304037563361,36.4235451552096,5.006668425755,6.39492882396559,4.049,24.72898902970544,83.9324295695131,48.6919510305029,52.63908181887736,47.36091818112264,Medium,Digital Access
Indonesia,2015,22.062742603379,129.468797674053,17.4533778353386,52.4049980875021,39.1187982955119,4.87632230022123,6.36312061196646,4.514,32.00413696181179,96.16277437418636,39.981779987642106,56.85295296389198,43.14704703610802,Medium,Digital Access
Indonesia,2016,25.447353701827,145.704251250337,17.1039925559359,53.8536749114756,39.4024246939414,5.03306918280177,3.52580452815451,4.301,47.934510756512225,96.44820720955384,63.95521597742907,69.72051608135183,30.279483918648168,Low,Digital Access
Indonesia,2017,32.335806250688,162.782511760443,16.6472976703959,54.8141223932801,38.7323495613041,5.06978590134916,3.80879857691949,3.783,67.61494999939532,92.29490864027677,71.51845016759609,77.42398557416405,22.57601442583595,Low,Digital Access
Indonesia,2018,39.9046386385762,118.330216938024,16.0966938200701,54.241352479489,38.8054496665639,5.17429153955024,3.19834755924996,4.387,38.78480207866917,88.94719387715485,65.2225242037688,64.27295584566905,35.727044154330954,Medium,Digital Access
Indonesia,2019,47.6906489788375,125.244348145809,15.6503864886917,53.4333664766937,38.3726939516609,5.01928768046282,3.03058460941661,3.59,51.141468371672126,84.17783838264249,80.14684104826631,71.40580967849,28.59419032151,Low,Digital Access
Indonesia,2020,53.72649449,129.40362112725,15.2729294832128,51.8245626786898,38.6795390891453,-2.06551182934165,1.91983527270793,4.255,59.76229014071719,81.75328388596743,47.086040315492575,63.65626300398739,36.34373699601261,Medium,Macro Resilience
Indonesia,2021,62.10447842,132.199444256099,15.9173180592044,48.4548591785955,36.9908270556254,3.70288562827751,1.56007882983334,3.827,69.35202132830872,76.4568901999938,80.63824288163106,75.2245918993952,24.775408100604807,Low,Digital Access
Indonesia,2022,66.48461277,122.873012230307,12.3669584996456,47.8435272019606,35.2884329632689,5.30719722664799,4.20946463714784,3.462,65.75555887115733,49.751372134884065,75.52651083766567,63.08537910341418,36.91462089658582,Medium,Financial Inclusion
Indonesia,2023,69.20836554,125.238194847046,11.6947628615698,46.0427624920726,36.0128888595253,5.04902331835997,3.66938654859761,3.308,70.03549847531418,46.987170816590826,80.9738449012844,65.25008772255207,34.74991227744793,Medium,Financial Inclusion
